"Your VAT-ID is valid.","Uw BTW-nummer is geldig."
"We have identified you as EU business customer, you can order VAT-exempt in our shop now.","U bent geindentificeerd als EU onderneming, u kunt nu BTW vrij bestellen."
"We have identified you as business customer.","U bent als zakelijke klant geindentificeerd."
"Your VAT-ID is invalid, please check the syntax.","Uw BTW-nummer is ongeldig, indien deze fout zich blijft herhalen neemt u dan contact met ons op."
"The given VAT-ID is invalid, please check the syntax. If this error remains please contact us directly to register a customer account with exempt from taxation with us.","Het ingevoerde BTW-nummer is ongeldig, controleert u de notatie alstublieft. Indien deze fout zich blijft herhalen neemt u dan contact met ons op."
"Currently the member state service is unavailable, we could not validate your VAT-ID to issue an VAT exempt order. Anyhow you can proceed with your registration and validate later in your customer account.","Op dit moment is de EU lidstaat-service niet beschikbaar en daardoor kunnen wij u geen BTW vrije order laten plaatsen. U kunt alsnog doorgaan met het verwerken van uw bestelling. In een later tijdstip kunt u alsnog in de Mijn Account uw BTW-nummer valideren. Bedankt voor uw begrip."
"Currently the European VIES service is unavailable, but you can proceed with your registration and validate later from your customer account management.","Op dit moment is de EU VIES-service niet beschikbaar en daardoor kunnen wij u geen BTW vrije order laten plaatsen. U kunt alsnog doorgaan met het verwerken van uw bestelling. In een later tijdstip kunt u alsnog in de Mijn Account uw BTW-nummer valideren. Bedankt voor uw begrip."
"There was an error processing your request. If this error remains please contact us directly to register a customer account with exempt from taxation with us.","Er is een fout opgetreden bij het verwerken van uw verzoek. Indien deze fout zich blijft herhalen, neemt u dan contact met ons op."
"VAT-ID validation results","BTW-nummer validatie resultaten"

"Please wait while we validate your VAT-ID...","Een moment geduld a.u.b., we valideren uw BTW-nummer..."
"EU VAT-ID Syntax Information","Europese BTW-nummer uitleg en syntaxis."
"Syntax Information","Invoerhulp"
"Please enter your VAT-ID including the ISO-3166 two letter country code.","Voert u a.u.b uw BTW-nummer is met de twee-letterige ISO-3166 landcode."

"Debug mode","Debug Mode"
"Logs all module relevant information to /var/log/system.log - OFF per default.","Log alle module relevante informatie vast in /var/log/system.log - Standaard: Actief."
"License Key","Licentiesleutel"
"Enable EU VAT Enhanced","EU VAT Enhanced activeren"
"VAT validaton and customer group assignment.","BTW-nummer validatie and klantgroep toewijzing."
"Current EU member states","Huidige EU lidstaten"
"Own VAT-ID","Uw eigen BTW-nummer"
"Please enter your own VAT-ID including the 2-letter country code.","Voer uw eigen BTW-nummer in, inclusief de twee-letterige landcode, bijv NL of BE."
"Email Recipient","E-mail ontvanger"
"Offline Validation","Offline validatie"
"If EU-VIES is offline, do you want to allow your customers to purchase without VAT, when they enter a VAT-ID?","Als EU-VIES offline is, wilt u dan toch orders BTW vrij toestaan als er een BTW-nummer wordt ingevoerd?"

"Group assignment settings","Klantgroeptoewijzing instellingen"
"Customer group for business customers inside EU with valid VAT-ID","Klantgroep voor zakelijke klanten binnen de EU met geldig BTW-nummer"
"Customer group for business customers (with valid VAT-ID) from own country","Klantgroep voor zakelijke klanten met geldig BTW-nummer in uw eigen land"
"Customer Group for customers outside EU","Klantgroep voor buiten de EU gevestigde relaties"
"Additional 0% VAT Groups","Additionele 0% BTW klantgroepen"
"In case you have more than one 0% VAT group, select them here.","Indien u meer dan een 0% BTW klantgroepen heeft, selecteer ze hier."
"Excluded Groups","uitgesloten klantgroepen"
"The selected groups will be excluded from the automatic (re-)grouping after each validation.","De geselecteerde klantgroepen worden uitgesloten van de automatische klantgroep (her)indeling na elke validatie."